T	Layout	IType	ItOuter	ItInner	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	tiling_[0]	tiling_[1]	tiling_[2]	vector_length_	nvars_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00227257	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0022777	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0022753	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00226092	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00226711	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0022781	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.00227611	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0022678	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0129885	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0124387	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0126613	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.012555	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0122568	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0126657	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0129639	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0124951	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.46875	5	1	0.0127802	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00543579	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00730955	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00534383	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00544118	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00721216	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00535628	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00537478	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0072015	
double	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.00531376	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0175779	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0170429	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0174306	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0178073	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0170391	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0174327	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0175801	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.017064	
double	Kokkos::LayoutRight	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	63	64	8	1	0	5	kNone	kMDRange	kNone	262144	15	0.234375	5	1	0.0174833	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00273108	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00243239	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00272734	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0027143	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00244454	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00274207	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00273029	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00242661	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.00272453	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0156993	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	2	61	2	61	2	61	512	1	1	0	5	kNone	kMDRange	kNone	216000	15	0.46875	5	1	0.0158904	
