T	Layout	IType	ItOuter	ItInner	ni_	nj_	nk_	size_	is_	ie_	js_	je_	ks_	ke_	tiling_[0]	tiling_[1]	tiling_[2]	vector_length_	nvars_	pre_step_type_	step_type_	post_step_type_	ncells_	flops_per_cell_	arith_intensity_	nsteps_	ndims_	elapsed_times_[0]	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00373177	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00373031	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00367761	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Right	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00373065	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00372972	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00367725	
float	Kokkos::LayoutLeft	long	Kokkos::Iterate::Default	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.00372902	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0375945	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Right	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0377452	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Left	Kokkos::Iterate::Default	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0376498	
float	Kokkos::LayoutRight	long	Kokkos::Iterate::Right	Kokkos::Iterate::Left	64	64	64	262144	0	63	0	63	0	64	256	1	1	0	5	kNone	kMDRange	kNone	266240	15	0.46875	5	1	0.0375918	
